u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
2502365513,2502365516,0,242781125,track,Seven Up Road,FS 7605300,False,False,32.33789435587187,"LINESTRING (-120.8717497 47.5962137, -120.8715998 47.5962379, -120.8714398 47.5962519, -120.8713242 47.5962475)",,,,,,,
2502365516,2502365513,0,242781125,track,Seven Up Road,FS 7605300,False,True,32.33789435587187,"LINESTRING (-120.8713242 47.5962475, -120.8714398 47.5962519, -120.8715998 47.5962379, -120.8717497 47.5962137)",,,,,,,
2555355234,248484811,0,766797537,secondary,,St 2007,False,False,7.879903018705193,"LINESTRING (10.3990327 47.5962207, 10.3991293 47.5962486)",100,2,5,,,,
2686222969,6233158453,0,"[665873179, 582907867]","['path', 'footway']",,,False,"[False, True]",29.13715251923891,"LINESTRING (11.0594329 47.596236, 11.059444 47.5962855, 11.0591423 47.596226)",,,,,,,
2752311222,2752311224,0,270172809,track,,,False,False,44.72339869186668,"LINESTRING (-2.5824299 47.5962132, -2.5823223 47.5962471, -2.5821909 47.5962745, -2.5820858 47.5962874, -2.5819879 47.5962712, -2.5818684 47.5962326)",,,,,,,
2752311224,2752311222,0,270172809,track,,,False,True,44.72339869186668,"LINESTRING (-2.5818684 47.5962326, -2.5819879 47.5962712, -2.5820858 47.5962874, -2.5821909 47.5962745, -2.5823223 47.5962471, -2.5824299 47.5962132)",,,,,,,
2780733392,5951647856,0,"[629812506, 273199011]","['footway', 'service']",,,False,"[False, True]",4.754491591390008,"LINESTRING (19.1120085 47.596222, 19.1120206 47.5962175, 19.1120458 47.5962463)",,,,,parking_aisle,,
2780733393,5951647856,0,273199017,service,,,False,False,7.290565858551268,"LINESTRING (19.112133 47.5962173, 19.1120458 47.5962463)",,,,,parking_aisle,,
2780733398,5951647856,0,273199017,service,,,False,True,0.8715569946506178,"LINESTRING (19.1120354 47.5962498, 19.1120458 47.5962463)",,,,,parking_aisle,,
2800766058,12473476957,0,1348473541,footway,,,False,True,5.409611959594183,"LINESTRING (9.5967089 47.5962106, 9.5967605 47.5962446)",,,,,,,
2807666504,318032013,0,605997975,primary,,85,False,False,134.63558862282028,"LINESTRING (16.7900249 47.5962174, 16.7892196 47.596255, 16.7887603 47.5962484, 16.7882335 47.5962168)",,,,,,,
